date,site,rep,chl
6/19/2017,ODNR_6,2,25.25
6/19/2017,ODNR_6,3,37.8
6/26/2017,ODNR_6,1,93.01
6/26/2017,ODNR_6,2,89.4
6/26/2017,ODNR_6,3,83.83
6/21/2017,ODNR_6,1,
6/21/2017,ODNR_6,2,
6/21/2017,ODNR_6,3,
7/17/2017,ODNR_6,1,7.32
7/17/2017,ODNR_6,2,8.98
7/17/2017,ODNR_6,3,8.16
7/31/2017,ODNR_6,1,171.42
7/31/2017,ODNR_6,2,164.06
7/31/2017,ODNR_6,3,181.4
8/14/2017,ODNR_6,1,55.25
8/14/2017,ODNR_6,2,52.55
8/14/2017,ODNR_6,3,70.41
8/28/2017,ODNR_6,1,50.28
8/28/2017,ODNR_6,2,65.77
8/28/2017,ODNR_6,3,62.46
6/5/2017,ODNR_4,1,34.77
6/5/2017,ODNR_4,2,49.21
6/5/2017,ODNR_4,3,48.59
6/19/2017,ODNR_4,1,
6/19/2017,ODNR_4,2,80.27
6/19/2017,ODNR_4,3,83.6
6/26/2017,ODNR_4,1,90.32
6/26/2017,ODNR_4,2,67.24
6/26/2017,ODNR_4,3,71.56
6/21/2017,ODNR_4,1,
6/21/2017,ODNR_4,2,
6/21/2017,ODNR_4,3,
7/17/2017,ODNR_4,1,5.62
7/17/2017,ODNR_4,2,6.74
7/17/2017,ODNR_4,3,9.75
7/31/2017,ODNR_4,1,159.37
7/31/2017,ODNR_4,2,170.33
7/31/2017,ODNR_4,3,170.3
8/14/2017,ODNR_4,1,60.24
8/14/2017,ODNR_4,2,63.47
8/14/2017,ODNR_4,3,59.42
8/28/2017,ODNR_4,1,44.38
8/28/2017,ODNR_4,2,63.03
8/28/2017,ODNR_4,3,62.59
6/5/2017,ODNR_2,1,50.59
6/5/2017,ODNR_2,2,53.55
6/5/2017,ODNR_2,3,40
6/19/2017,ODNR_2,1,64.4
6/19/2017,ODNR_2,2,27.72
6/19/2017,ODNR_2,3,25.51
6/26/2017,ODNR_2,1,23.37
6/26/2017,ODNR_2,2,63.02
6/26/2017,ODNR_2,3,95.69
6/21/2017,ODNR_2,1,
6/21/2017,ODNR_2,2,
6/21/2017,ODNR_2,3,
7/17/2017,ODNR_2,1,109.36
7/17/2017,ODNR_2,2,94.65
7/17/2017,ODNR_2,3,84.67
7/31/2017,ODNR_2,1,139.12
7/31/2017,ODNR_2,2,139.18
7/31/2017,ODNR_2,3,134.3
8/14/2017,ODNR_2,1,53.14
8/14/2017,ODNR_2,2,60.38
8/14/2017,ODNR_2,3,60.24
8/28/2017,ODNR_2,1,26.91
8/28/2017,ODNR_2,2,29.89
8/28/2017,ODNR_2,3,36.97
6/5/2017,Buoy_2,1,22.92
6/5/2017,Buoy_2,2,19.99
6/5/2017,Buoy_2,3,19.17
6/19/2017,Buoy_2,1,31.05
6/19/2017,Buoy_2,2,24.69
6/19/2017,Buoy_2,3,36.83
6/26/2017,Buoy_2,1,
6/26/2017,Buoy_2,2,35.13
6/26/2017,Buoy_2,3,49.61
6/21/2017,Buoy_2,1,36.78
6/21/2017,Buoy_2,2,37.3
6/21/2017,Buoy_2,3,48.96
7/17/2017,Buoy_2,1,157.65
7/17/2017,Buoy_2,2,145.65
7/17/2017,Buoy_2,3,163.96
7/31/2017,Buoy_2,1,107.47
7/31/2017,Buoy_2,2,77.111
7/31/2017,Buoy_2,3,83.66
8/14/2017,Buoy_2,1,10.73
8/14/2017,Buoy_2,2,13.61
8/14/2017,Buoy_2,3,12.74
8/28/2017,Buoy_2,1,20.51
8/28/2017,Buoy_2,2,21.16
8/28/2017,Buoy_2,3,23.91
6/5/2017,Bridge,1,35.32
6/5/2017,Bridge,2,27.96
6/5/2017,Bridge,3,28.14
6/19/2017,Bridge,1,40.96
6/19/2017,Bridge,2,37.64
6/19/2017,Bridge,3,34.86
6/26/2017,Bridge,1,67.99
6/26/2017,Bridge,2,65.01
6/26/2017,Bridge,3,78.13
6/21/2017,Bridge,1,
6/21/2017,Bridge,2,
6/21/2017,Bridge,3,
7/17/2017,Bridge,1,109.81
7/17/2017,Bridge,2,111.46
7/17/2017,Bridge,3,140.38
7/31/2017,Bridge,1,124.79
7/31/2017,Bridge,2,136.27
7/31/2017,Bridge,3,128.59
8/14/2017,Bridge,1,34.06
8/14/2017,Bridge,2,43.37
8/14/2017,Bridge,3,43.1
8/28/2017,Bridge,1,34.76
8/28/2017,Bridge,2,38.69
8/28/2017,Bridge,3,42.85
6/21/2017,intake_buoy,1,2.02
6/21/2017,intake_buoy,2,2.97
6/21/2017,intake_buoy,3,3.53
