Site,Date,Location,Water Temperature_C,Air Temperature_C,pH_ph,Conductivity_uS/cm2,Dissolved Oxygen_mg/L,Chlorophyll-a_ug/L,Total Microcystins_ug/L,Dissolved Microcystins_ug/L,Nitrate+Nitrite_umol/L,Ammonium_umol/L,Nitrite_umol/L,Soluble Reactive Phosphorus_umol/L,Silicate_umol/L,Nitrate_umol/L,Total Phosphorus_umol/L,Total Kjehldahl Nitrogen_umol/L,Total Nitrogen_umol/L,TN:TP_ratio,Fluoroprobe Green Algae_ug/L,Fluoroprobe Bluegreen Algae_ug/L,Fluoroprobe Diatoms_ug/L,Fluoroprobe Cryptophyta_ug/L,Fluoroprobe Total Chlorophyll_ug/L
Buoy 2,2017-07-31,Outer Bay,24.51,NA,10.38,330,17.7,89.41366667,NA,NA,39.26692226,2.070437719,2.141832123,0.161426952,2.142857143,37.12509014,4.26167154,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-07-31,Outer Bay,25.08,NA,10.69,290,20.93,65.00666667,NA,NA,45.69241863,2.141832123,2.141832123,0.290568514,15.35714286,43.55058651,3.325395217,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-07-31,Outer Bay,24.68,NA,10.4,300,16.82,58.54666667,NA,NA,20.70437719,2.284620931,0.713944041,0.161426952,23.92857143,19.99043315,2.711972798,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-07-31,Lake Erie,26.21,NA,9.72,280,11.73,13.08,NA,NA,16.42071294,1.285099274,0.713944041,0.290568514,33.21428571,15.7067689,1.033132495,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-08-14,Inner Bay,23.63,22,10.37,300,10.13,61.04333333,8.459890126,NA,0,3.641114609,0,0.613422419,8.571428571,0,6.4247927,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-08-14,Inner Bay,23.47,24,10.8,270,13.3,59.40333333,11.64431978,NA,0,2.712987356,0,0.484280857,3.928571429,0,6.4247927,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-08-14,Inner Bay,23.88,25,10.58,290,13.5,40.17666667,8.289119065,NA,0,1.285099274,0,0.193712343,22.14285714,0,4.745952397,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-08-14,Outer Bay,23.66,26,10.74,280,13.69,57.92,7.14989853,NA,0,1.713465699,0,0.451995466,32.67857143,0,4.390813102,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-08-14,Outer Bay,24.48,26,10.68,270,16.22,12.36,8.16330681,NA,0,2.498804144,0,0.419710076,28.92857143,0,3.615963731,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-08-14,Outer Bay,24.2,27,10.69,270,16.46,56.11333333,7.371984197,NA,0,2.712987356,0,0.290568514,19.28571429,0,4.003388416,NA,NA,NA,NA,NA,NA,NA,NA
