site,date_time,discharge,note
4198000,1/2/2019 18:30,7440,cubic feet per second
4198000,1/2/2019 18:45,7440,cubic feet per second
4198000,1/2/2019 19:00,7440,cubic feet per second
4198000,1/2/2019 19:15,7410,cubic feet per second
4198000,1/2/2019 19:30,7410,cubic feet per second
4198000,1/2/2019 19:45,7410,cubic feet per second
4198000,1/2/2019 20:00,7380,cubic feet per second
4198000,1/2/2019 20:15,7380,cubic feet per second
4198000,1/2/2019 20:30,7360,cubic feet per second
4198000,1/2/2019 20:45,7360,cubic feet per second
4198000,1/2/2019 21:00,7360,cubic feet per second
4198000,1/2/2019 21:15,7330,cubic feet per second
4198000,1/2/2019 21:30,7330,cubic feet per second
4198000,1/2/2019 21:45,7330,cubic feet per second
4198000,1/2/2019 22:00,7300,cubic feet per second
4198000,1/2/2019 22:15,7300,cubic feet per second
4198000,1/2/2019 22:30,7280,cubic feet per second
4198000,1/2/2019 22:45,7280,cubic feet per second
4198000,1/2/2019 23:00,7280,cubic feet per second
4198000,1/2/2019 23:15,7250,cubic feet per second
4198000,1/2/2019 23:30,7250,cubic feet per second
4198000,1/2/2019 23:45,7220,cubic feet per second
4198000,1/3/2019 0:00,7220,cubic feet per second
4198000,1/3/2019 0:15,7200,cubic feet per second
4198000,1/3/2019 0:30,7200,cubic feet per second
4198000,1/3/2019 0:45,7200,cubic feet per second
4198000,1/3/2019 1:00,7170,cubic feet per second
4198000,1/3/2019 1:15,7170,cubic feet per second
4198000,1/3/2019 1:30,7170,cubic feet per second
4198000,1/3/2019 1:45,7170,cubic feet per second
4198000,1/3/2019 2:00,7150,cubic feet per second
4198000,1/3/2019 2:15,7150,cubic feet per second
4198000,1/3/2019 2:30,7120,cubic feet per second
4198000,1/3/2019 2:45,7120,cubic feet per second
4198000,1/3/2019 3:00,7090,cubic feet per second
4198000,1/3/2019 3:15,7090,cubic feet per second
4198000,1/3/2019 3:30,7090,cubic feet per second
4198000,1/3/2019 3:45,7070,cubic feet per second
4198000,1/3/2019 4:00,7040,cubic feet per second
4198000,1/3/2019 4:15,7040,cubic feet per second
4198000,1/3/2019 4:30,7040,cubic feet per second
4198000,1/3/2019 4:45,7040,cubic feet per second
4198000,1/3/2019 5:00,7020,cubic feet per second
4198000,1/3/2019 5:15,7020,cubic feet per second
4198000,1/3/2019 5:30,6990,cubic feet per second
4198000,1/3/2019 5:45,6990,cubic feet per second
4198000,1/3/2019 6:00,6960,cubic feet per second
4198000,1/3/2019 6:15,6960,cubic feet per second
4198000,1/3/2019 6:30,6960,cubic feet per second
4198000,1/3/2019 6:45,6930,cubic feet per second
4198000,1/3/2019 7:00,6930,cubic feet per second
4198000,1/3/2019 7:15,6930,cubic feet per second
4198000,1/3/2019 7:30,6900,cubic feet per second
4198000,1/3/2019 7:45,6900,cubic feet per second
4198000,1/3/2019 8:00,6880,cubic feet per second
4198000,1/3/2019 8:15,6880,cubic feet per second
4198000,1/3/2019 8:30,6880,cubic feet per second
4198000,1/3/2019 8:45,6880,cubic feet per second
4198000,1/3/2019 9:00,6880,cubic feet per second
4198000,1/3/2019 9:15,6880,cubic feet per second
4198000,1/3/2019 9:30,6880,cubic feet per second
4198000,1/3/2019 9:45,6850,cubic feet per second
4198000,1/3/2019 10:00,6820,cubic feet per second
4198000,1/3/2019 10:15,6820,cubic feet per second
4198000,1/3/2019 10:30,6820,cubic feet per second
4198000,1/3/2019 10:45,6790,cubic feet per second
4198000,1/3/2019 11:00,6790,cubic feet per second
4198000,1/3/2019 11:15,6760,cubic feet per second
4198000,1/3/2019 11:30,6760,cubic feet per second
4198000,1/3/2019 11:45,6730,cubic feet per second
4198000,1/3/2019 12:00,6730,cubic feet per second
4198000,1/3/2019 12:15,6710,cubic feet per second
4198000,1/3/2019 12:30,6680,cubic feet per second
4198000,1/3/2019 12:45,6680,cubic feet per second
4198000,1/3/2019 13:00,6680,cubic feet per second
4198000,1/3/2019 13:15,6650,cubic feet per second
4198000,1/3/2019 13:30,6620,cubic feet per second
4198000,1/3/2019 13:45,6620,cubic feet per second
4198000,1/3/2019 14:00,6620,cubic feet per second
4198000,1/3/2019 14:15,6600,cubic feet per second
4198000,1/3/2019 14:30,6600,cubic feet per second
4198000,1/3/2019 14:45,6540,cubic feet per second
4198000,1/3/2019 15:00,6540,cubic feet per second
4198000,1/3/2019 15:15,6540,cubic feet per second
4198000,1/3/2019 15:30,6510,cubic feet per second
4198000,1/3/2019 15:45,6490,cubic feet per second
4198000,1/3/2019 16:00,6490,cubic feet per second
4198000,1/3/2019 16:15,6490,cubic feet per second
4198000,1/3/2019 16:30,6490,cubic feet per second
4198000,1/3/2019 16:45,6430,cubic feet per second
4198000,1/3/2019 17:00,6430,cubic feet per second
4198000,1/3/2019 17:15,6430,cubic feet per second
4198000,1/3/2019 17:30,6400,cubic feet per second
4198000,1/3/2019 17:45,6380,cubic feet per second
4198000,1/3/2019 18:00,6380,cubic feet per second
4198000,1/3/2019 18:15,6350,cubic feet per second
4198000,1/3/2019 18:30,6320,cubic feet per second
4198000,1/3/2019 18:45,6320,cubic feet per second
4198000,1/3/2019 19:00,6320,cubic feet per second
4198000,1/3/2019 19:15,6290,cubic feet per second
4198000,1/3/2019 19:30,6270,cubic feet per second
4198000,1/3/2019 19:45,6240,cubic feet per second
4198000,1/3/2019 20:00,6240,cubic feet per second
4198000,1/3/2019 20:15,6210,cubic feet per second
4198000,1/3/2019 20:30,6210,cubic feet per second
4198000,1/3/2019 20:45,6190,cubic feet per second
4198000,1/3/2019 21:00,6190,cubic feet per second
4198000,1/3/2019 21:15,6160,cubic feet per second
4198000,1/3/2019 21:30,6130,cubic feet per second
4198000,1/3/2019 21:45,6110,cubic feet per second
4198000,1/3/2019 22:00,6110,cubic feet per second
4198000,1/3/2019 22:15,6080,cubic feet per second
4198000,1/3/2019 22:30,6050,cubic feet per second
4198000,1/3/2019 22:45,6050,cubic feet per second
4198000,1/3/2019 23:00,6030,cubic feet per second
4198000,1/3/2019 23:15,6000,cubic feet per second
