site,date_time,discharge,notes
4198000,1/13/2018 19:30,9660,cubic feet per second
4198000,1/13/2018 20:00,9570,cubic feet per second
4198000,1/13/2018 20:30,9480,cubic feet per second
4198000,1/13/2018 21:00,9450,cubic feet per second
4198000,1/13/2018 21:30,9390,cubic feet per second
4198000,1/13/2018 22:00,9330,cubic feet per second
4198000,1/13/2018 22:30,9220,cubic feet per second
4198000,1/13/2018 23:00,9130,cubic feet per second
4198000,1/13/2018 23:30,9010,cubic feet per second
4198000,1/14/2018 0:00,8890,cubic feet per second
4198000,1/14/2018 0:30,8810,cubic feet per second
4198000,1/14/2018 1:00,8690,cubic feet per second
4198000,1/14/2018 1:30,8580,cubic feet per second
4198000,1/14/2018 2:00,8460,cubic feet per second
4198000,1/14/2018 2:30,8380,cubic feet per second
4198000,1/14/2018 3:00,8260,cubic feet per second
4198000,1/14/2018 3:30,8180,cubic feet per second
4198000,1/14/2018 4:00,8100,cubic feet per second
4198000,1/14/2018 4:30,8010,cubic feet per second
4198000,1/14/2018 5:00,7930,cubic feet per second
4198000,1/14/2018 5:30,7850,cubic feet per second
4198000,1/14/2018 6:00,7740,cubic feet per second
4198000,1/14/2018 6:30,7660,cubic feet per second
4198000,1/14/2018 7:00,7580,cubic feet per second
